"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Ligustrum robustum var. khasiana
C.B. Clarke",Oleaceae,"Nongstoi
n,
Meghalay
a",27-09-1915,Upendranath Kanjilal,5925,"Isotype-1
Lectotype-
1",ASSAM,,
"Micrechites sabitae var. lexiflora
DE et Narayan swami",Apocynaceae,"K&J Hills,
Lyngkyrdem,
22 mile cherra
road,
sohra raim.,
Meghalaya","31-10-1931,
16-05-1932,
28-05-1932",S.R. Sharma,"9448,
10139,
12785A.","Type- 1
Holotype-
1
Lectotype-
1",ASSAM,,
Pauia belladonna Deb et Dutta,Solanaceae,"Rahu to Wakka,
Arunachal
Pradesh",2/7/1961,D.B. Deb,"26422B,C,
D,E.",Isotype-4,ASSAM,,
"Utricularia tayloriana Joseph et
Mani","Lentibulariacea
e","20th mile,
Shillong,
Meghalaya","26-08-1980 ; 31-
08-1980",J. Joseph,"73568A,
77232.","Holotype-
1
Isotype-
4
Paratype
-",ASSAM,,
Chirita reptans Burtt & Panigrahi,Gesneriaceae,"Khela,
Arunachal
Pradesh",12/3/1958,G.K.Murthy,12953A.,Paratype-1,ASSAM,,
"Chirita macrophylla Wall. subsp.
tirapensis Panigrahi",Gesneriaceae,"Laju to Rahu,
Arunacha
l
Pradesh","26-08-1958 ; 29-
06-1961","G.Panigrahi, D.B.Deb","14795,
26312.","Holotype-
1
Paratype-
1",ASSAM,,
"Rhynchoglossum lazulinum A.S.
Rao & Joseph",Gesneriaceae,"Krishna to
Sessa, Palin to
Sayata, Aka
hills,
Arunacha
l
Pradesh","10-09-1964 ; 19-
11-1964 ; 13-11-
1951","J. Joseph,
N.L. Bor, A.R.K. Sastry","39716E,
40738,
18179.","Isotype-3
Paratype-
4",ASSAM,,
"Hypoestis triflora R.& S. Var.
pedunculata Balakr.",Acanthaceae,"Raliang,
Meghalaya",24-11-1969,"N.P.
Balakrishnan",50252B,Isotype-1,ASSAM,,
"Callicarpa moldenkiana
Rajendran",Verbenaceae,"K&J Hills Jarain
– nongthala,
Pungtong,
Pangtum forests,
Meghalaya","15-11-1968, 04-
11-1938, 30-08
1935, 18-08-1968","N.P.
Balakrishnan,
R. N. De, S.R. Sharma","49852,18
8
77,12154,
46707.",Paratype-4,ASSAM,,
"Clerodendron nicolsonii
Rajendran",Verbenaceae,"N. Lakhimpur,
Deomukh
R.F,Chalohowa,
Assam","16-05-1966, 23-
05-1966,",D.M. Verma,"46361,46
6
54,
46361.","Holotype-
1
Paratype-
2",ASSAM,,
"Clerodendron panigrahianum
Rajendran",Verbenaceae,"Kameng F.D,
Rupa, Morsing,
Rahung,
Shergaon,
Arunachal
Pradesh","23-05-1958, 16-
05-1958, 15-05-
1957, 20-05-1958","G. Panigrahi,
R. S.Rao","16053,15
7
28, 7430,
15917","Isotype -
1
Paratype-
4",ASSAM,,
Premna debiana Rajendran,Verbenaceae,"Tirap, Arunachal
Pradesh",10.7.1961,D.B. Deb,"26630,26
6
51.",Paratype-2,ASSAM,,
"Polygonum sarbhanganicum
Subba Rao",Polygonaceae,"Sarbhanga
river, Assam",24-04-1957,Rolla Seshagiri Rao,"7162A, B.",Type-2,ASSAM,,
"Dicraea filifolia Ramamurthy &
Joseph","Podostemonace
ae","Parambiculam,
Trichur, Kerala",22-11-1962,Ramamurthy,15325,Isotype-1,ASSAM,,
"Beilschmiedia bhutanica M.
Gangop.",Lauraceae,"Eastern Bhutan
Samdrup jonkar",29-03-1965,"N.P.
Balakrishnan",41942,Holotype-1,ASSAM,,
Cryptocarya dekae M. Gangop.,Lauraceae,"Panbari,
Darrang,
Assam",28-04-1955,G. K. Deka,Nil.,Holotype-1,ASSAM,,
"Persea dubia (Das & Kanjilal)
Kosterm.",Lauraceae,"Sibsagar, Assam",15-09-1934,DFO,10778,Holotype-1,ASSAM,,
Persea globularia Kosterm.,Lauraceae,"Chardua
r
Reserve,
Darrang,
Assam",9/5/1933,A. Das,10640,"Lectotype-
1
Isotype-5",ASSAM,,
Persea haridasanii M. Gangop.,Lauraceae,"Kameng,
Saiden – 
jirigaon,
Arunacha
l
Pradesh",4/2/1995,K.P. Singh,99369,Paratype-1,ASSAM,,
Persea sharmae M.Gangop.,Lauraceae,"K&J Hills,
Shillong Peak,","07-06-1941,
May, 1935,","S.R. Sharma,
N.L. Bor","9202,
21057,","Holotype-
1",ASSAM,,
,,"Dawki forests,
Meghalaya;
Naga
hills,
Nagalan
d",25-10-1934,,10853,"Paratype-
2",,,
Persea upendrae M. Gangop.,Lauraceae,"Sylhet, Bashi
hills, Assam",28-04-1915,U.N. Kanjilal,6895,Holotype-1,ASSAM,,
"Phoebe cooperiana U.N.
Kanjilal et A.Das",Lauraceae,"Pasighat Range,
Sadiya Division,
Arunacha
l
Pradesh","19-05-1934, June,
1922","Upendranath
Kanjilal,
A. Das",7722,"Isotype-1
Paratype-
3",ASSAM,,
Phoebe goalparensis Hutchinson,Lauraceae,"Aie Reserve,
Goalpara,
Assam",9/2/1915,Upendranath Kanjilal,5092,"Holotype-
1
Isotype-
1",ASSAM,,
"Phoebe hedgei M. Gangop. &
A. Sarmah",Lauraceae,"Lohit, Twlleng
village
Arunachal
Pradesh",23-12-1993,A.S.Chauhan,99495,Paratype -1,ASSAM,,
"Purkayastha pseudomicropora
Purkayastha ex
Narayanswami",Lauraceae,"Digboi, Tinsukia,
Assam","19-10-1936 ; 04-
09-1936","B.O., Digboi","13592,
13565","Syntype-
2 Type-
1",ASSAM,,
Daphne shillong Banerji,Thymelaeaceae,"Upper Shillong,
Laithymkot,
Meghalaya",23-09-1913,Upendranath Kanjilal,"2373,
2629",Type-3,ASSAM,,
Taxillus assamicus Danser,Loranthaceae,"Lawlyngdoh
, Peak
forest,
Meghalay
a","11-08-1937 ; 03-
12-1931 ; 25-09-
1913 ; 29-09-
1937 ; 16-08-
1913","G.K. Deka, S.R.
Sharma,
Upendranath Kanjilal","18573,
9749,
2642,
2415,
16588","Holotype-
1
Paratype-
5",ASSAM,,
Viscum album L.,Loranthaceae,"Japu
forest,
Nagaland",19-02-1939,R.N. De,17461,"Holotype-
1
Isotype-
1",ASSAM,,
Excoecaria aboriana R.N. De,Euphorbiaceae,"Pasigha
t,
Arunach
al
Pradesh",00-10-1940,R.N. De,"21561,
21562 A","Holotype-
1
Isotype-2
Paratype-
4",ASSAM,,
"Glochidion madankamdevi
Borthakur et Kalita",Euphorbiaceae,"Barpahar hill,
Assam",10/5/2005,Paresh Kalita,"1260 A,
B, C","Holotype-
1
Isotype-",ASSAM,,
,,,,,,2,,,
"Glochidion mandakatensis Kalita
et Borthakur",Euphorbiaceae,"Mandakata
hill range,
Assam",3/1/2004,Paresh Kalita,"1184A,B,C.","Holotype-
1
Isotype-
2",ASSAM,,
"Trigonostemon chatterjii Deb et
Deka",Euphorbiaceae,"Dawki,
Meghalaya",4/5/1943,G.K. Deka,Nil.,Isotype-4,ASSAM,,
"Boehmeria tirapensis Deb et
Dutta",Urticaceae,"Kothong,
Arunacha
l
Pradesh",25-06-1961,D.B. Deb,26081B,Isotype-1,ASSAM,,
Quercus milroyi Purkayastha,Fagaceae,"Pillung,
Arunacha
l
Pradesh",15-12-1913,Upendranath Kanjilal,3171,Syntype-1,ASSAM,,
Agrostophyllum flavidum Phukan,Orchidaceae,"Khasi hills,
Meghalaya",00-05-1985,S. Phukan,68257B,Isotype-1,ASSAM,,
"Armodorum senapatianum
Phukan & Mao",Orchidaceae,"Senapati
hill,
Manipur",26-05-2000,A.A. Mao,60271,Isotype-1,ASSAM,,
"Biermannia jainiana Hegde et
Rao",Orchidaceae,"Sessa,
Arunachal
Pradesh",19-05-1982,S.N. Hegde,4241,Paratype-1,ASSAM,,
"Bulbophyllum brachypodum
var.geei A.S.Rao & Balak.",Orchidaceae,"Dirang-Dzong,
Kameng,
Arunacha
l
Pradesh",24-10-1965,E.P. Gee,"43067A,4
3
004A,B","Holotype-
1
Isotype-
1",ASSAM,,
"Bulbophyllum brachypodum
var.parviflorum A.S.Rao &
Balak.",Orchidaceae,"Tobrang near
Gundrithan
g, Eastern
Bhutan",16-03-1965,"N.P.
Balakrishnan","43004A,B.","Holotype-
1
Isotype-
1",ASSAM,,
"Bulbophyllum leopardinum
Lindl.var.tuberculatum Balak.&
Chowdhury",Orchidaceae,"Nyoth from
Shali, Eastern
Bhutan",13-03-1965,"N.P.
Balakrishnan","41971A,B,
C.","Holotype-
1
Isotype-
2",ASSAM,,
"Cheirostylis chinensis Rolfe
var. glabra M. Bhaumik & 
M. K. Pathak",Orchidaceae,"Bejari, Dibang
Valley,
Arunacha
l
Pradesh",5.3.2004,"M. Bhaumik & B. B. T.
Tham","104752B,
104752C.",Isotype- 2,ASSAM,,
"Cleisostoma tricallosum Hegde
et Rao",Orchidaceae,"Sessa,
Arunachal
Pradesh",19-08-1982,S.N.Hegde,4464,Paratype-1,ASSAM,,
Coelogyne schultesii Jain et Das,Orchidaceae,"Cherrapunjee,
Nongstoin,
Jarain, Markasa
Patharkhang,
Meghalaya ;
Dirang
Dzong,
Kameng,
Subansiri,
Siang,
Bomdilla,
Arunachal
Pradesh ; Bhutan","31-03-1977; 13-
10-1973;11-11-
1973; 26-04-
1966;
08-04-1970; 15-
04-1976; 24-04-
1964; 24-04-
1966;
00-12-1975; 27-
03-1971; 31-10-
1970; 04-04-
1975;
15-04-1976; 08-
04-1970;","Sandhyajyoti Das;
P.K.Hajra;
S.K.Kakati; E.P.Gee;
H.Deka;
G.H.Bhawmik;
A.S.Rao;
N.P.Balakrishnan; A.
R.K, Sastry; R. S.
Rao; RS Rao; RS
Rao; G.
Panigrahi; RS Rao;
ARK Sastry; ARK
Sastry.
Determinavit- S. Das","60256B,
C, D,
34493,49
5
18,
50780,
54067,54
8
79,
55497,
37177,60
1
88,
60192,
60191,60
1
93, 4523
4, 53862,","Isotype-3
Paratype-
24",ASSAM,,
,,,"12.5.1966;
18.4.1973;
15.5.1957;
17.11.1958;
15.5.1958;
19.10.1955;
10.5.1966;
10.5.1966.",,"7425,
17758,
15614,
1398,
44876,
44876",,,,
Coelogyne hitendrae Das et Jain,Orchidaceae,Nagaland,March’ 1976,S. K. Kataki,60202B,Isotype-1,ASSAM,,
Coelogyne raizadae Jain et Das,Orchidaceae,"Subansiri
,
Arunach
al
Pradesh
;
N.O. BSI,
Shillong,
Mowsmai,
Meghalaya;
Narfong,,Bhutan.","30.4.1974;
5.4.1972;
29.4.1965;
26.4.1968","S. Das; P. C. Pant; NP
Balakrishnan;
B. Krishna, S. Das","55419 B,
38031,
41981 A,
50829,
55411,
55422","Paratype-
4,
Isotype-1",ASSAM,,
Coelogyne hajrae Phukan,Orchidaceae,"Namdapha,
Arunacha
l
Pradesh",23.4.1985,B.K. Shukla,87943,Isotype-1,ASSAM,,
"Corybus purpureus Joseph et
Yog.",Orchidaceae,"Elephant
Falls,Shillong;
Elephants","27.6.1966;
16.10.1965",J. Joseph;,"36892 B-J,
36891 A-I","Isotype- 9,
Paratype- 9",ASSAM,,
,,"Falls,Shillong,Me
ghalaya.",,,,,,,
"Dendrobium arunachalense C.
Deori, Sarma, Phukan et Mao",Orchidaceae,"Dibang valley,
Arunachal
Pradesh",16-10-2004,C. Deori,"101163 A,
B, C, D, E",Isotype-5,ASSAM,,
"Dendrobium assamicum
Chowdhury",Orchidaceae,"Nellie, Nagaon,
Assam","31-03-1969 ; 21-
05-1969",S. Chowdhury,"354, 354
A, C, D","Type-1
Holotype-
1
Isotype-
2",ASSAM,,
"Dendrobium falconeri Hook. var.
senapatianum C. Deori, R.
Gogoi & A. A. Mao",Orchidaceae,"Senapati
Dist.,
Manipur",15.5.2008,A. A. Mao & R. Gogoi,115084,Holotype-1,ASSAM,,
"Dendrobium josephii Nageswara
Rao et Swaminathan",Orchidaceae,"Deban,
Arunacha
l
Pradesh",00-08-1984,"M.S.
Swaminathan",85101A,Holotype-1,ASSAM,,
Dendrobium khasianum Deori,Orchidaceae,"Pontang forest,
Khasi hills,
Orchid house,
Shillong,
Meghalaya","08-05-1978 ; 17-
05-1958 ; 30-04-
1973 ; 17-05-
1978","N.C. Deori, T.M.
Hynniewta, E.P. Gee,
G.K. Deka","71819,
71823
B, C, D","Isotype-3
Paratype-
4",ASSAM,,
"Dendrobium meghalayense C.
Deori et al.",Orchidaceae,"Shillong, Orchid
house,
Meghalaya","19-08-1959 ; 09-
10-2004","H. Deka, G.K. Deka,
C. Deori","18385 A,
B, C,
D,
10116
2","Holotype-1
Isotype-3
Paratype-
1",ASSAM,,
"Dendrobium numaldeorii C.
Deori, T.M.
Hynniewta & 
S.Phukan",Orchidaceae,"Dibang valley,
Arunacha
l
Pradesh",10/10/2003,C. Deori,"101122
B, C, D",Isotype-3,ASSAM,,
"Eria connata Joseph, Hegde et
Abbareddy",Orchidaceae,"Sessa, Khellong,
Arunachal
Pradesh","07-08-1980 ; 22-
07-1980",N.R. Abbareddy,"4045,
3168-2,
62391 A,
B, C, D","Holotype-
1
Isotype-3
Paratype-
2",ASSAM,,
"Eria glandulifera Deori &
Phukan",Orchidaceae,"Mawsmai forest,
National
Orchidarium,
Shillong,
Meghalaya",5/4/1972,"N.C. Deori, P.C. Pant",50826,"Isotype-1
Paratype-
1",ASSAM,,
Eulophia kamarupa Chowdhury,Orchidaceae,"Gauhati
University,
Assam",9/1/1970,Reni Kalita,453,Isotype-1,ASSAM,,
Eulophia santapaui Panigr. et,Orchidaceae,"Umsaw,",15.10.1954;,G.K. Deka,Nil,Holotype-,ASSAM,,
Kataki,,"Meghalaya;
Umsaw,
Meghalaya",15.10.1954,,,"1,
Paratype-
1",,,
"Evrardia asraoa Joseph et
Abbareddy",Orchidaceae,"Pynursla,
Meghalay
a;",26.8.1980;,J. Joseph;,"73566 A,
73566B-D","Holotype-
1,
Isotype-3",ASSAM,,
"Flickingeria abhaycharanii
Phukan & Mao",Orchidaceae,"Mao area,
Senapati
hill,
Manipur",1/7/2002,S. Phukan; A.A. Mao,"102801,
68274","Isotype-3
Paratype-
2",ASSAM,,
"Katherinea navicularis Balak. & 
Chowdhury",Orchidaceae,"Narfong,
Bhutan;",29.3.1965,"N.P.
Balakrishnan","43014 A,
43014 B-G","Holotype-
1,
Isotype-6",ASSAM,,
"Oberonia sulcata Joseph &
Chowdhury",Orchidaceae,"Selari forest,
Kameng,
Arunacha
l
Pradesh",28-09-1964,J.Joseph,"40358 A,
B, C, D",Isotype-4,ASSAM,,
Pantlingia serrata N.C. Deori,Orchidaceae,"Shillong peak,
Meghalaya",15-09-1975,N.C.Deori,"51262 B,
C",Isotype-2,ASSAM,,
"Penkimia nagalandensis S Phukan
et N. Odyuo",Orchidaceae,"Penkimia, Mt.
Saramat
i,
Nagalan
d",21.12.2003,N. Odyuo,"102808 B,
107235","Isotype-
1,
Paratype-
1",ASSAM,,
"Pennilabium proboscideum A.S.
Rao & Joseph",Orchidaceae,"Umran
and
Umsaw,
Meghalaya",23-07-1966,A.S.Rao,"45622B,C,
D, E, F, G",Isotype-6,ASSAM,,
"Pholidota convallariae (Reichb.f.)
Hook.f. var. breviscapa Deori
& Joseph",Orchidaceae,"43
camp,
Kamen
g,
Arunach
al
Pradesh","16-11-1971; 10-
12-1974; 26-12-
1973",A.S.Rao,"5090 B,
C, D, E,
F, G,
56658,
51786","Isotype-6
Paratype-
2",ASSAM,,
Porpax gigantea N.C. Deori,Orchidaceae,"Jarain,
Meghalaya",1/7/1973,N.C. Deori,"51757
B, C, D,
E, F,
G, H, I, J",Isotype-9,ASSAM,,
"Sunipia jainii Hynniewta et
Malhotra",Orchidaceae,"Tseminyu,
Nagaland",14-11-1973,T.M.Hynniewta,"56060
B, C, D",Isotype-3,ASSAM,,
"Taeniophyllum khasianum Jose. et
Yog",Orchidaceae,"Woodland,
Meghalaya",21.5.1966,J. Joseph,"35593 A-
H",Isotype-8,ASSAM,,
Trias pusilla Joseph et H. Deka,Orchidaceae,"Woodland
Compound,
Meghalaya",22.10.1970,H. Deka,"37296A-C,
37255 B,
37255 C","Isotype-
2,
Paratype-
3",ASSAM,,
"Thrixspermum muscaeflorum A.S.
Rao & Joseph",Orchidaceae,"Umran and
Umsaw,
Meghalaya",23-07-1966,"J.Joseph, A.S.Rao","45621
A, B, C,
D, F, G,
45638
A, B, C,
D,
E, F","Isotype-6
Paratype-
6",ASSAM,,
"Zeuxine assamica Iswar Barua et
Kuntala Barua",Orchidaceae,"Charigaon,
Jorhat,
Assam",26-03-1997,Iswar Chandra Barua,"2357 B,
C, D, E, F",Isotype-5,ASSAM,,
"Hedychium calcaratum A.S.
Rao & D.N. Verma",Zingiberaceae,"Jowai(60 miles
from
Shillong),
Meghalaya",27.7.1957,GK. Deka,"10134 B-
C",Isotype-2,ASSAM,,
"Hedychium dekianum A.S. Rao &
D.N. Verma",Zingiberaceae,"Jowai, Jowai-
Jorain,
Khliehriat,
Meghalaya.","16.8.1968;
20.8.1968;
21.8.1968;
23.10.1967;
15.7.1966","NP Balak, G. K. Deka,
G. K. Deka","35605C-D,
37306A-D,
46934A-
E,46882,
46119A-
D.","Paratype-
14
Isotype-2",ASSAM,,
"Hedychium gracile A.S. Rao &
D.N. Verma",Zingiberaceae,"Woodland,
Shillong,
Cherapunjee,
Meghalaya","21.8.1967;12.7.1
96
; 16.5.1950;
3.6.1956 ;
7.6.1956","DM Verma, GK Deka,
RS Rao","170 A-C,
2688 A B,
23085 A-
B,
35672,
35603",Paratype-9,ASSAM,,
Hedychium greenii W. W. Smith,Zingiberaceae,Western Bhutan,1904,H. F. Green,7734 A-C.,Syntype-3,ASSAM,,
"Hedychium longipedunculatum
A.R.K. Sastry et. D.M. Verma",Zingiberaceae,"Subansiri
District, Amjee
vicinity,
Arunachal
Pradesh",22-05-1966,A.R.K.Sastry,"45222,
45584,
45509
B, C, D,
E, F, G,
H","Isotype -
7
Paratype-
6",ASSAM,,
"Hedychium radiatum A.S. Rao &
P.K. Hajra",Zingiberaceae,"Kameng
,
Arunacha
l
Pradesh",6.9.1974,AS Rao,"56655 B-
C,
56655 E,
56655","Holotype-
1,
Isotype-3",ASSAM,,
"Hedychium robustum A.S. Rao &
P.K. Hajra",Zingiberaceae,"Kameng
,
Arunacha",27.8.1974,A.S. Rao,"56654A,B,
C,D
56654A.","Holotype-
1,
Isotype-3",ASSAM,,
,,"l
Pradesh",,,,,,,
"Hedychium rubrum A.S. Rao &
D.M. Verma",Zingiberaceae,"K.J.Hills,
Woodlands 
Introduced
Jowai
Badarpur
Road K&J hills,
Meghalaya","12-08-1965 ; 01-
08-1968 ; 22-07-
1957 ; 16-09-
1961","D.M. Verma, A.S. Rao,
G.K. Deka , V.N. Naik","35695
A,B,
10135
A,B,C,D,
34599B,C,
D,E, F, G,
H, I.","Isotype-8
Paratype-
7",ASSAM,,
"Parakaempferia synantha A.S.
Rao & D.M. Verma",Zingiberaceae,"Chaldhowa,
N.Lakhimpur,
Assam.",22-05-1966,D.M.Verma,"46585B,C,
D,E,F,G.",Isotype-6,ASSAM,,
"Roscoea ngainoi A.A. Mao & M.
Bhaumik",Zingiberaceae,"Dzuko valley,
Nagaland;
Ngaino Hills,
Manipur.","3.6.2005 ;
18.3.2005",AA Mao,"Coll No.
109387
B-
D,
109029
A-C","Isotype-3
Isotype -3",ASSAM,,
Molineria prainiana Deb.,Hypoxidaceae,"Aka hills,
Arunacha
l
Pradesh",2/6/1934,N.L.Bor,15221,Paratype- 1,ASSAM,,
Tacca choudhuriana Deb.,Taccaceae,"Arunachal
Pradesh",7/9/1963,A.K.Choudhuri,"36457 B,
C, D",Isotype-3,ASSAM,,
"Dioscorea japonica Thunb. Var.
Nagarum Prain & Burkill",Dioscoreaceae,"Naga Hills,
Nagaland","July,1936",N.L.Bor,19446,Type -1,ASSAM,,
"Smilax griffithii A. DC. var. borii
Panigr. & Naik",Smilacaceae,"Kameng
F.D., Aka
hills,
Arunacha
l
Pradesh","27-03-1957
June, 1934","G.Panigrahi,
N.L.Bor","6146,
19199","Holotype-
1
Paratype-
1",ASSAM,,
"Aneilema glanduliferum Joseph
et Rolla Rao",Commelinaceae,"Kameng F.D,
Arunachal
Pradesh",10/9/1964,J. Joseph,"39707
C, G",Isotype-2,ASSAM,,
Asraoa trinadra J. Joseph,Arecaceae,"Lohit
Dist.,
Arunacha
l
Pradesh",25.9.1969.,AS Rao,48105 B-F,Isotype-5,ASSAM,,
"Lagenandra undulata
A.R.K. Sastry",Araceae,"Subansiri Dist.
Arunacha
l
Pradesh",21-05-1966,A.R.K.Sastry,"45489
B, C, D,
E, F,
G, H, I, J, K.",Isotype-10,ASSAM,,
"Arisaema setosum A.S. Rao &
D.M. Verma",Araceae,"Siang F.D.
Arunachal
Pradesh",20-11-1958,Rolla S. Rao,17907 B,Paratype-1,ASSAM,,
"Fimbristylis circumciliata
Govindarajalu",Araceae,"Sibsagar, sola
Reserve, Assam",25-03- 1937,P.R Dutta,14090,Type-1,ASSAM,,
"Bambusa pseudopallida R.
Majundar",Poaceae,"Barapani,
Meghalaya.",24.10.1915,U. Kanjilal,6108 A-D,Paratype-4,ASSAM,,
Deyeuxia nagarum Bor.,Poaceae,"Japvo, Naga
Hills, Nagaland","Sep,1937",G.K. Deka,9800,Isotype –1,ASSAM,,
Rottboellia goalparensis Bor.,Poaceae,"Goalpara,Holtu
g
aon, Kochugaon,
Assam.","22-01-1933, 28-
01-1933",Dina Nath & A. Das,10471,"Type-1
Isotype-
1",ASSAM,,
Schizachyrium sudhanshui Singh,Poaceae,"Raichur-
Hyderabad
Road,
Karnataka",15-11-1975,N.P. Singh,141725,Isotype – 1,ASSAM,,
Sclerostachya milroyi Bor,Poaceae,"Naga
hills,
Nagalan
d","June, 1935",N.L. Bor,Nil,Type-1,ASSAM,,
Themeda huttonensis Bor.,Poaceae,"Lahuri, Naga
hills, Nagaland","June, 1935",N.L. Bor,6717,Isotype- 1,ASSAM,,
FERNS,,,,,,,,,
Polystichum lobatum (Huds) Pr.,Aspidiaceae,"Peak Forests K&J
Hills, Meghalaya",22-12-1957,G.K. Deka,3960,"Type- 1
Isotype-
2",ASSAM,,
"Arthromeris jarrettii A.R.K. Sastry
et. S.Chowdhury",Polypodiaceae,"Subansiri
District,
Arunachal
Pradesh","30-11-1964
12-5-1966",A.R.K. Sastry,"40966A,B,
C,D,E,G,
44887","Holotype-
1 Isotype-
5
Paratype-
2",ASSAM,,
LICHENS,,,,,,,,,
"Lecidea nagalandica Sinha et
Singh","Family not
mentioned","Kohima, Jalukie,
Nagaland",11/10/1984,G.P.Sinha,N. 779,Holotype-1,ASSAM,,
Cladonia singhii Abti & Dixit,"Family
not
mentione
d","W.Siang,
Arunacha
l
Pradesh",9/12/1984,K.P.Singh,6122,Holotype-1,ASSAM,,
"Arthothelium bisporum Singh et
Sinha",Arthoniaceae,"Phek district
between Losami
and Lainey,
Nagaland",27-04-1986,G.P.Sinha,1666,Holotype-1,ASSAM,,
"Graphina verruculosa Singh et
Sinha",Graphidaceae,"Mon, Mon-Namse
Road, Nagaland",19-05-1987,K.P.Singh & G.P.Sinha,N. 4065,Paratype-1,ASSAM,,
"Pertusaria maculata Singh et
Sinha",Pertusariaceae,"Mon near Longai
village
forest,
Nagaland",18-05-1987,K.P.Singh & G.P.Sinha,N. 4021,Holotype-1,ASSAM,,
Pertusaria hirtella Singh et Sinha,,"Kohima, Tening,
Nagaland",3/9/1986,K.P.Singh & G.P.Sinha,N. 1830,Holotype-1,ASSAM,,
"Parmelina nagalandica K.Singh
et Sinha",Parmeliaceae,"Mokokchung,
Mariani
Roadside,
Nagaland","11-04-1985 ; 12-
04-1985",G.P.Sinha,"N. 838, N.
860","Holotype-
1
Paratype-
1",ASSAM,,
Parmelina chozoubae,,"Wokha, Mt.
Tigei
forest,
Nagaland",28-10-1984,G.P.Sinha,N. 709,Paratype-1,ASSAM,,
Phyllobathelium indicum Sinha et,Strigulaceae,Changlang,23-02-1982,K.P.Singh,F. 50,Holotype-1,ASSAM,,
Singh,,"district,
Namdapha
Biosphere
Reserve,
Arunacha
l
Pradesh",,,,,,,
"Details of ASSAM Type specimens presently available ON LOAN AT BSA
Lichens Type: 12 (Holotype: 02; Isotype: 04; Paratype: 06).",,,"(recently published and designated as Type at B.S.I., C.R.C., Allahabad)",,,,,,
Scientific Name with Authority,Family Name,"Place of
collection",Collection Date,Name of the collector,"Field
No./Collect
ion No.",Type Details,"Herb.
Acronym",,
"Graphis sundarbanensis
Jgadeesh Ram & G.P. Sinha",Arthoniaceae,"West Bengal,
Sundarbans,
B.R., Dutta
Passur
mangrove
forest",01.03.2003,T.A.M. Jagadeesh Ram,13759,Paratype,ASSAM,,
"Chrysothrix septemseptata
Jagadeesh Ram, Lumbusch,
Lücking & G. P. Sinha","Chrysothricace
ae","West Bengal,
Sundarbans,
B.R., Bakkhali",23.12.2001,"G.P. Sinha & T.A.M.
Jagadeesh Ram",11479,Holotype,ASSAM,,
"Chrysothrix septemseptata
Jagadeesh Ram, Lumbusch,
Lücking & G. P. Sinha","Chrysothricace
ae","West Bengal,
Sundarbans,
B.R., Bakkhali",09.03.2003,T.A.M. Jagadeesh Ram,13846,Paratype,ASSAM,,
"Chrysothrix septemseptata
Jagadeesh Ram, Lumbusch,
Lücking & G. P. Sinha","Chrysothricace
ae","West Bengal,
Sundarbans,
B.R.,
Bakkhali",28.02.2003,T.A.M. Jagadeesh Ram,13670,Paratype,ASSAM,,
"Chrysothrix septemseptata
Jagadeesh Ram, Lumbusch,
Lücking & G. P. Sinha","Chrysothricace
ae","West Bengal,
Sundarbans,
B.R., Bakkhali",28.02.2003,T.A.M. Jagadeesh Ram,13673,Paratype,ASSAM,,
"Chrysothrix septemseptata
Jagadeesh Ram, Lumbusch,
Lücking & G. P. Sinha","Chrysothricace
ae","West Bengal,
Sundarbans,
B.R.,Bakkhali",19.03.2002,T.A.M. Jagadeesh Ram,12237,Paratype,ASSAM,,
"Sporopodium awasthianum
Kr.P. Singh & Pinokiyo",Ectolechiaceae,"Arunachal
Pradesh,
Lohitdistric
t,
Tengapa
ni",30.12.1983,K.P. Singh,13150,Isotype,ASSAM,,
"Graphis sundarbanensis
Jgadeesh Ram & G.P. Sinha",Graphidaceae,"WestBengal,
Sundarbans
B.R.,
Chamta
mangrove
forest",-do-,T.A.M. Jagadeesh Ram,13759,Paratype,ASSAM,,
"Schistophoron indicum Kr.P.
Singh & Swarnalatha",Graphidaceae,"Arunachal
Pradesh, East
Siang District,
Gette Basti",08.01.1983,K.P. Singh,2858,Isotype,ASSAM,,
"Megalaria bengalensis
Jagadeesh Ram, Aptroot,",Megalariaceae,"West Bengal,
Sundarbans",25.02.2003,T.A.M. Jagadeesh Ram,13510,Isotype,ASSAM,,
G.P.Sinha & Kr.P. Singh,,"B.R.,Chamta
mangrove
forest",,,,,,,
"Pyrenula subcylindrica
Jagadeesh Ram & Upreti",Pyrenulaceae,"WestBengal
,
Sundarban
s,
B.R.,Lothia
n
Island",07.03.2003,T.A.M. Jagadeesh Ram,13805,Holotype,ASSAM,,
"Thelenella indica Pinokiyo & Kr.
P. Singh",Thelnellaceae,"SikkimHimalaya,
East Sikkim,
Assam Linzey
Rd.",02.03.05,Athokpam Pinokiyo,F 315,Isotype,ASSAM,,
