"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Jasminum balakrishnanii S.K.
Srivast.","North Andaman, Saddle
Peak",1.12.1976,"N.P. Balakrishnan
&
N.G. Nair",4766,Isotype,PBL,,,
"Jasminum balakrishnanii S.K.
Srivast.","North Andaman, Saddle
Peak",27.3.1977,N.P. Balakrishnan,5160,Paratype,PBL,,,
"Chilocarpus denudatus Blume var.
nicobaricus M. Gangop. & 
Chakrab.","South Nicobar, Gt.
Nicobar Island, East-
West Road",12.2.1980,R.P. Diwivedi,7868,Isotype,PBL,,,
"Chilocarpus denudatus Blume var.
nicobaricus M. Gangop. & 
Chakrab.","South Nicobar, Gt.
Nicobar Island, East-
West
Road",26.8.1980,D.K. Hore,8219,Paratype,PBL,,,
"Micrechites parkinsonii
M.Gangop. & Chakrab.","South Nicobar, Ferrargunj",18.5.1974,"K. Thothathri &
N.G. Nair",1239,Isotype,PBL,,,
"Ceropegia andamanica Sreek.,
Veenak. & Prashanth","South Nicobar, Mt.
Harriet","14.12.199
5","P.V. Sreekumar & 
Veenakumari",15493,Isotype,PBL,,,
Genianthus horei Vasudev Rao,"South Nicobar,
near Kopenhiet, Gt.
Nicobar
Island","22.10.197
9",D.K. Hore,7243,Isotype,PBL,,,
"Secamone andamanica Goel & 
Vasudeva Rao","South Andaman, Jolly
boys Island","24.10.198
6",A.K. Goel,16604 -(B),Isotype,PBL,,,
"Aeschynanthus andamanensis
Goel, Vasudeva Rao & 
Mehrotra","North Andaman, Saddle
Peak Range, Lania
Bay Slope",28.3.1977,N.P. Balakrishnan,5417-A&B,Type,PBL,,,
Cyrtandra burttii N.P. Balakr.,"South Nicobar, 17
km from Campbell
bay to Alexandria
river,Gt.,Nicobar",21.8.1975,N.P. Balakrishnan,3025-C&D,Isotype,PBL,,,
Cyrtandra burttii N.P. Balakr.,"Great Nicobar, 17 km ,
East-West Road",29.7.1976,N.P. Balakrishnan,4047,Isotype,PBL,,,
"Cyrtandra occidentalis N.P.
Balakr. & B.L. Burtt","South Nicobar,
Campbell Bay to
Chengappa Bay",11.6.1977,N.P. Balakrishnan,5700-B&C,Isotype,PBL,,,
"Cyrtandra occidentalis N.P.
Balakr. & B.L. Burtt","Great Nicobar, on
path to shompen
village from 37
km on East - West Road",23.7.1976,N.P. Balakrishnan,3984,Paratype,PBL,,,
"Cyrtandra occidentalis N.P.
Balakr. & B.L. Burtt","South Nicobar, path to
shompen houses, ex 36.8
km on East - West Road",17.6.1977,N.P. Balakrishnan,5825,Paratype,PBL,,,
"Cyrtandra occidentalis N.P.
Balakr. & B.L. Burtt","South Nicobar, 25 km on
East - West Road, near
Galathia river",16.6.1977,N.P. Balakrishnan,5793,Paratype,PBL,,,
